book,chapter,testament
Genesis,1,old
Genesis,2,old
Genesis,3,old
Genesis,4,old
Genesis,5,old
Genesis,6,old
Genesis,7,old
Genesis,8,old
Genesis,9,old
Genesis,10,old
Genesis,11,old
Genesis,12,old
Genesis,13,old
Genesis,14,old
Genesis,15,old
Genesis,16,old
Genesis,17,old
Genesis,18,old
Genesis,19,old
Genesis,20,old
Genesis,21,old
Genesis,22,old
Genesis,23,old
Genesis,24,old
Genesis,25,old
Genesis,26,old
Genesis,27,old
Genesis,28,old
Genesis,29,old
Genesis,30,old
Genesis,31,old
Genesis,32,old
Genesis,33,old
Genesis,34,old
Genesis,35,old
Genesis,36,old
Genesis,37,old
Genesis,38,old
Genesis,39,old
Genesis,40,old
Genesis,41,old
Genesis,42,old
Genesis,43,old
Genesis,44,old
Genesis,45,old
Genesis,46,old
Genesis,47,old
Genesis,48,old
Genesis,49,old
Genesis,50,old
Exodus,1,old
Exodus,2,old
Exodus,3,old
Exodus,4,old
Exodus,5,old
Exodus,6,old
Exodus,7,old
Exodus,8,old
Exodus,9,old
Exodus,10,old
Exodus,11,old
Exodus,12,old
Exodus,13,old
Exodus,14,old
Exodus,15,old
Exodus,16,old
Exodus,17,old
Exodus,18,old
Exodus,19,old
Exodus,20,old
Exodus,21,old
Exodus,22,old
Exodus,23,old
Exodus,24,old
Exodus,25,old
Exodus,26,old
Exodus,27,old
Exodus,28,old
Exodus,29,old
Exodus,30,old
Exodus,31,old
Exodus,32,old
Exodus,33,old
Exodus,34,old
Exodus,35,old
Exodus,36,old
Exodus,37,old
Exodus,38,old
Exodus,39,old
Exodus,40,old
Leviticus,1,old
Leviticus,2,old
Leviticus,3,old
Leviticus,4,old
Leviticus,5,old
Leviticus,6,old
Leviticus,7,old
Leviticus,8,old
Leviticus,9,old
Leviticus,10,old
Leviticus,11,old
Leviticus,12,old
Leviticus,13,old
Leviticus,14,old
Leviticus,15,old
Leviticus,16,old
Leviticus,17,old
Leviticus,18,old
Leviticus,19,old
Leviticus,20,old
Leviticus,21,old
Leviticus,22,old
Leviticus,23,old
Leviticus,24,old
Leviticus,25,old
Leviticus,26,old
Leviticus,27,old
Numbers,1,old
Numbers,2,old
Numbers,3,old
Numbers,4,old
Numbers,5,old
Numbers,6,old
Numbers,7,old
Numbers,8,old
Numbers,9,old
Numbers,10,old
Numbers,11,old
Numbers,12,old
Numbers,13,old
Numbers,14,old
Numbers,15,old
Numbers,16,old
Numbers,17,old
Numbers,18,old
Numbers,19,old
Numbers,20,old
Numbers,21,old
Numbers,22,old
Numbers,23,old
Numbers,24,old
Numbers,25,old
Numbers,26,old
Numbers,27,old
Numbers,28,old
Numbers,29,old
Numbers,30,old
Numbers,31,old
Numbers,32,old
Numbers,33,old
Numbers,34,old
Numbers,35,old
Numbers,36,old
Deuteronomy,1,old
Deuteronomy,2,old
Deuteronomy,3,old
Deuteronomy,4,old
Deuteronomy,5,old
Deuteronomy,6,old
Deuteronomy,7,old
Deuteronomy,8,old
Deuteronomy,9,old
Deuteronomy,10,old
Deuteronomy,11,old
Deuteronomy,12,old
Deuteronomy,13,old
Deuteronomy,14,old
Deuteronomy,15,old
Deuteronomy,16,old
Deuteronomy,17,old
Deuteronomy,18,old
Deuteronomy,19,old
Deuteronomy,20,old
Deuteronomy,21,old
Deuteronomy,22,old
Deuteronomy,23,old
Deuteronomy,24,old
Deuteronomy,25,old
Deuteronomy,26,old
Deuteronomy,27,old
Deuteronomy,28,old
Deuteronomy,29,old
Deuteronomy,30,old
Deuteronomy,31,old
Deuteronomy,32,old
Deuteronomy,33,old
Deuteronomy,34,old
Joshua,1,old
Joshua,2,old
Joshua,3,old
Joshua,4,old
Joshua,5,old
Joshua,6,old
Joshua,7,old
Joshua,8,old
Joshua,9,old
Joshua,10,old
Joshua,11,old
Joshua,12,old
Joshua,13,old
Joshua,14,old
Joshua,15,old
Joshua,16,old
Joshua,17,old
Joshua,18,old
Joshua,19,old
Joshua,20,old
Joshua,21,old
Joshua,22,old
Joshua,23,old
Joshua,24,old
Judges,1,old
Judges,2,old
Judges,3,old
Judges,4,old
Judges,5,old
Judges,6,old
Judges,7,old
Judges,8,old
Judges,9,old
Judges,10,old
