userid,book,chapter,tstamp
user1,Numbers,1,2019-05-01 12:30:00
user1,Numbers,1,2019-05-01 12:30:00
user1,Numbers,1,2019-05-01 12:30:00
user1,Numbers,1,2019-05-01 12:30:00
user1,Numbers,2,2019-05-01 12:30:00
user1,Numbers,2,2019-05-01 12:30:00
user1,Numbers,2,2019-05-01 12:30:00
user1,Numbers,3,2019-05-01 12:30:00
user1,Numbers,3,2019-05-01 12:30:00
user1,Numbers,3,2019-05-01 12:30:00
user1,Numbers,4,2019-05-01 12:30:00
user1,Numbers,4,2019-05-01 12:30:00
user1,Numbers,5,2019-05-01 12:30:00
user1,Numbers,5,2019-05-01 12:30:00
user1,Numbers,5,2019-05-01 12:30:00
user1,Numbers,6,2019-05-01 12:30:00
user1,Numbers,6,2019-05-01 12:30:00
user1,Numbers,6,2019-05-01 12:30:00
user1,Numbers,6,2019-05-01 12:30:00
user1,Numbers,7,2019-05-01 12:30:00
user1,Numbers,7,2019-05-01 12:30:00
user1,Numbers,7,2019-05-01 12:30:00
user1,Numbers,7,2019-05-01 12:30:00
user1,Numbers,8,2019-05-01 12:30:00
user1,Numbers,9,2019-05-01 12:30:00
user1,Numbers,9,2019-05-01 12:30:00
user1,Numbers,9,2019-05-01 12:30:00
user1,Numbers,9,2019-05-01 12:30:00
user1,Numbers,10,2019-05-01 12:30:00
user1,Numbers,10,2019-05-01 12:30:00
user1,Numbers,10,2019-05-01 12:30:00
user1,Numbers,10,2019-05-01 12:30:00
user1,Numbers,11,2019-05-01 12:30:00
user1,Numbers,11,2019-05-01 12:30:00
user1,Numbers,11,2019-05-01 12:30:00
user1,Numbers,12,2019-05-01 12:30:00
user1,Numbers,12,2019-05-01 12:30:00
user1,Numbers,12,2019-05-01 12:30:00
user1,Numbers,13,2019-05-01 12:30:00
user1,Numbers,13,2019-05-01 12:30:00
user1,Numbers,13,2019-05-01 12:30:00
user1,Numbers,14,2019-05-01 12:30:00
user1,Numbers,15,2019-05-01 12:30:00
user1,Numbers,16,2019-05-01 12:30:00
user1,Numbers,16,2019-05-01 12:30:00
user1,Numbers,16,2019-05-01 12:30:00
user1,Numbers,17,2019-05-01 12:30:00
user1,Numbers,17,2019-05-01 12:30:00
user1,Numbers,18,2019-05-01 12:30:00
user1,Numbers,18,2019-05-01 12:30:00
user1,Numbers,18,2019-05-01 12:30:00
user1,Numbers,19,2019-05-01 12:30:00
